"","Bzone","DailyCO2e_2019","DVMT_2019","DailyCO2e_2045_base","DVMT_2045_base","DailyCO2e_2045_telework","DVMT_2045_telework","hispanic_index","low_income_index","racial_minority_index","age75older_index","nonEnglish_index","disability_index","index","EEA"
"1",1611,20534.613434972,45106.673875812,11120.3422621442,42679.2958884168,9782.26457735247,36764.2404696563,0,0,0,0,0,0,0,0
"2",1612,23612.606880342,52074.496535117,12145.1336765808,46930.548213307,11128.4324652367,42074.5099575954,0,0,0,0,0,0,0,0
"3",1613,8047.657903731,17402.653146527,5520.41972080606,21744.921728045,4621.38108515507,17811.0945936127,0,0,0,0,0,0,0,0
"4",1614,9177.147503357,20770.891036887,4867.59197998404,19866.5520610472,4144.15141656547,17126.2692533392,0,1.06363575446317,0,0,0,0,1.06363575446317,0
"5",1615,9801.277888425,21471.303842197,5522.27449663142,19616.4819030711,4799.17725919889,16725.1112264454,0,0,0,0,0,0,0,0
"6",1616,3769.079234538,8249.260655412,2231.10168247032,7788.17080905434,1857.52815431715,6438.37454918298,0,0,0,0,0,0,0,0
"7",1617,9290.745471327,20284.174774042,5315.67262066345,18977.6204993854,4843.11389696403,16961.5212129794,0,0,0,0,0,0,0,0
"8",1618,108265.507510087,244853.875237646,61355.8806593844,230730.856575319,49976.3916656017,187046.84425437,0,0,0,0,0,0,0,0
"9",1619,5482.183628275,11909.692838224,3424.31491357135,11985.3638209713,2950.35712454575,10194.9257599446,0,0,0,0,0,0,0,0
"10",1620,2960.586966713,6428.015588747,1869.49524968717,6544.57128416178,1730.27528036122,6150.92941372098,0,0,0,0,0,0,0,0
"11",1621,8001.234355758,17661.464113452,4497.68525907424,15798.6107287805,4056.2771016832,14210.147098969,0,0,0,1.63508825112161,0,0,1.63508825112161,0
"12",1622,6324.985831547,13970.43116763,3789.89675526109,13565.066424281,3293.82084272396,11435.8880061718,0,0,0,0,0,0,0,0
"13",1623,14499.874903485,32125.213440602,8227.04682530616,29242.7089828051,7494.13775310273,26091.6957421451,0,0,0,1.62812675361412,0,0,1.62812675361412,0
"14",1624,8247.853042476,18190.783234493,4576.77364349285,16218.1294843391,4046.19931722378,14049.4644458615,0,0,0,1.6338674867685,0,0,1.6338674867685,0
"15",1625,15807.727198527,35181.795510574,8878.55853060385,31368.8877587456,8103.19590134836,28222.144514489,0,0,0,1.6357314265917,0,0,1.6357314265917,0
"16",1626,15590.79744925,35033.230767939,9363.1803567118,33069.5005080927,8313.56501369171,28802.5370093336,0,0,0,1.56674709722653,0,0,1.56674709722653,0
"17",1627,15013.927725566,33893.123555,8723.44044258363,31613.8829357046,7568.10125568566,27356.3447115145,0,0,0,0,0,0,0,0
"18",1628.01,8320.618798422,19187.574813457,5499.21829308574,20675.9716757924,5343.46414395191,19690.7673723125,0,0,0,0,0,0,0,0
"19",1628.02,7755.647731123,17797.270411193,5444.0005070477,20497.6909139254,4735.23995623546,17835.3255520766,0,0,0,0,0,0,0,0
"20",1628.03,12893.079187914,29579.988492131,8989.55463774059,34479.1129432517,8227.29827925577,31300.7606108327,0,0,0,0,0,0,0,0
"21",1629,6571.229925199,14544.578094413,3756.84499959408,14395.551415478,3087.54132927462,12256.5444181317,0,0,0,0,0,0,0,0
"22",1630.01,8850.646516163,19978.095419852,3835.92457574483,14966.6170290246,3286.7372704759,12815.4686588806,0,0,0,2.11291970048902,0,0,2.11291970048902,0
"23",1630.02,4499.779576283,10153.751044112,7142.61172229684,28617.3969471913,5999.4466618551,23734.7426130288,0,0,0,2.15736029033604,0,0,2.15736029033604,0
"24",1631,4063.317313693,9371.08876717,5882.03628699887,23265.4190801533,4672.83349749083,18620.9466711078,0,0,0,2.08468452194627,0,0,2.08468452194627,0
"25",1632.01,8666.052986175,19426.686178135,1885.90891822552,7402.65440103752,1508.2786717893,6280.50713905258,0,1.10944314594723,0,0,0,0,1.10944314594723,0
"26",1632.02,8543.734403188,19279.8496102,2243.59194346335,9314.11901469155,1903.29800904785,8009.68044308534,0,1.10596536488777,0,0,0,0,1.10596536488777,0
"27",1632.03,7088.024984352,16000.607778882,7332.41058795041,31231.4349525559,6123.31516964137,26002.1526819097,0,1.12123198356084,0,0,0,0,1.12123198356084,0
"28",1632.04,4726.414167193,10517.618048144,477.868704032989,1926.55634475165,460.151162625247,1660.57804252096,0,1.1169282417137,0,0,0,0,1.1169282417137,0
"29",1633,1381.32354787,2990.755707205,672.825373777406,2550.64075526847,573.991977765072,2123.92703611766,0,0,0,0,0,0,0,0
"30",1634,4419.921732325,9934.184214486,6177.65581088846,26747.1320652416,5236.21096437331,22202.8199381153,0,1.11377938043384,0,0,0,0,1.11377938043384,0
"31",1635,30385.470770831,67106.30376703,16563.5826811414,62708.5921634653,13709.8381828027,51936.5559894513,0,0,0,0,0,0,0,0
"32",1636,28645.068831411,64174.228089342,16982.310399424,61737.8093998507,13820.9503259684,50722.8215928835,0,0,0,0,0,0,0,0
"33",1637,32007.851044882,71554.186173126,16626.8535935523,76175.6557913621,14971.1110018892,67415.9077630169,0,1.04766314198152,0,0,0,0,1.04766314198152,0
"34",1638.01,22873.216500162,50930.023646159,12339.1515917634,57453.4036645006,10902.9634698868,50153.4448475668,0,1.03239350534187,0,0,0,0,1.03239350534187,0
"35",1638.02,15647.920553963,34544.779650742,7874.98273719816,34280.2070500546,7038.44341492149,30211.0248344397,0,0,0,0,0,0,0,0
"36",1639.01,4869.274240165,11040.521149082,2521.71417507401,10357.8548532474,2235.40827328941,9064.83445764784,0,0,0,0,1.78583657687115,0,1.78583657687115,0
"37",1639.02,8415.901834053,18773.718878099,9557.22328862418,39102.0334807453,7761.36166426758,32244.826822999,0,0,0,0,1.79983673361539,0,1.79983673361539,0
"38",1640,15459.168680759,34601.355224219,10041.402333469,40455.2234901067,8593.1215537421,34010.0652400889,0,0,0,0,1.79452562769095,0,1.79452562769095,0
"39",1641,16322.761431749,36457.788770038,8769.95959320337,34992.075376855,7964.61397118926,31121.0442601559,0,0,0,0,1.74363547796147,0,1.74363547796147,0
"40",1642,21622.639925942,48172.407613996,15930.3754235295,71253.2661000948,13805.0704084684,61869.6896828338,0,0,0,0,0,0,0,0
